pub_id,freezerworks_id
SM-N658P,SM-NCWQJ
SM-N659F,SM-NCWQO
SM-N87SR,SM-NCWQP
SM-N87T9,SM-NCWQI
SM-N658W,SM-NCWQK
SM-N6591,SM-NCWQ1
SM-N659P,SM-NCWQC
SM-N87T5,SM-NCWQB
SM-N657Z,SM-NCWQ9
SM-N6597,SM-NCWPF
SM-N658T,SM-NCWPG
SM-N658Y,SM-NCWQ6
SM-N881A,SM-NCWPH
SM-N87YX,SM-NCWPI
SM-N87YT,SM-NCWPJ
SM-N87ZM,SM-NCWPK
SM-N87ZT,SM-NCWPL
SM-N87YW,SM-NCWPM
SM-N87ZC,SM-NCWPW
SM-N87Z5,SM-NCWPN
SM-N3HL6,SM-NACNJ
SM-N3HWD,SM-NACO1
SM-N3HYX,SM-NACML
SM-N3HX3,SM-NACNU
SM-N3I28,SM-NACMU
SM-N3I13,SM-NACNV
SM-N54N2,SM-NACOH
SM-N54NX,SM-NACO6
SM-N3HWH,SM-NACNF
SM-N3HMN,SM-NACMX
SM-N3HX7,SM-NACOE
SM-N3HXF,SM-NACNZ
SM-N3HWU,SM-NACNT
SM-N3HXN,SM-NACN9
SM-N3I24,SM-NACNO
SM-N54OV,SM-NACND
SM-N3HXR,SM-NACOD
SM-N3HZP,SM-NACNM
SM-N3HMJ,SM-NACO5
SM-MVQMW,SM-NACMK
SM-N3I35,SM-NACMQ
SM-N3HLQ,SM-NACNQ
SM-N3HY4,SM-NACNP
SM-N3HWY,SM-NACNH
SM-N9ZUE,SM-NMUDZ
SM-NA1CV,SM-NMUE4
SM-NA1E4,SM-NMUDW
SM-NA1EB,SM-NMUE1
SM-NA1CX,SM-NMUE3
SM-NA1D1,SM-NMUE5
SM-NA1CW,SM-NMUE2
SM-NA1EE,SM-NMUDY
SM-NA1D8,SM-NMUE7
SM-NA1D9,SM-NMUE6
SM-NA1DX,SM-NMUE9
SM-NA1DU,SM-NMUE8
SM-NA1DG,SM-NMUEA
SM-NA1D2,SM-NMUEL
SM-NA1EJ,SM-NMUEJ
SM-NA1DA,SM-NMUEN
SM-N872G,SM-NMUEK
SM-NA1D4,SM-NMUEF
SM-NA1D5,SM-NMUEH
SM-N9ZUW,SM-NMUED
SM-N9ZUF,SM-NMUEG
SM-N9ZUG,SM-NMUEB
SM-NA1ED,SM-NMUEC
SM-NA1E2,SM-NMUEE
SM-N87KQ,SM-NMUEM
SM-NA1D6,SM-NMUER
SM-NA1DK,SM-NMUEQ
SM-NA1E6,SM-NMUET
SM-NA1DE,SM-NMUES
SM-N871O,SM-NMUEO
SM-NA1E7,SM-NMUEU
SM-NA1DJ,SM-NMUEV
SM-NA1EA,SM-NMUF2
SM-NA1EC,SM-NMUF7
SM-NA1E9,SM-NMUF5
SM-NA1DW,SM-NMUEX
SM-NA1E1,SM-NMUEW
SM-NA1E3,SM-NMUF1
SM-N872K,SM-NMUEZ
SM-N87KR,SM-NMUF6
SM-NA1DH,SM-NMUCK
SM-NA1DI,SM-NMUF3
SM-NA1DM,SM-NMUCJ
SM-N871R,SM-NMUCR
SM-NA1DC,SM-NMUEY
SM-N8769,SM-NMUF4
SM-N8722,SM-NMUCO
SM-NA1DR,SM-NMUCS
